confederation,team,status
AFC,Australia,Qualified
AFC,Iran,Qualified
AFC,Japan,Qualified
AFC,Jordan,Qualified
AFC,South Korea,Qualified
AFC,Uzbekistan,Qualified
AFC,Qatar,Qualified
AFC,Saudi Arabia,Qualified
CAF,Egypt,Qualified
CAF,Morocco,Qualified
CAF,Tunisia,Qualified
CAF,Algeria,Qualified
CAF,Ghana,Qualified
CAF,Cape Verde,Qualified
CAF,South Africa,Qualified
CAF,Senegal,Qualified
CAF,Ivory Coast,Qualified
UEFA,England,Qualified
CONMEBOL,Argentina,Qualified
CONMEBOL,Brazil,Qualified
CONMEBOL,Colombia,Qualified
CONMEBOL,Uruguay,Qualified
CONMEBOL,Ecuador,Qualified
CONMEBOL,Paraguay,Qualified
CONCACAF,USA,Qualified
CONCACAF,Mexico,Qualified
CONCACAF,Canada,Qualified
OFC,New Zealand,Qualified
