team,confederation,rank,total.points,composite_score
Spain,,3,1853.27,0.9057
France,,2,1859.78,0.844651
Portugal,,6,1756.12,0.822803
Belgium,,8,1740.62,0.805731
Italy,,9,1731.51,0.780202
Netherlands,,7,1747.55,0.775653
Croatia,,13,1691.59,0.724536
Germany,,10,1703.79,0.723171
Switzerland,,20,1625.16,0.654032
Denmark,,21,1611.49,0.640764
Ukraine,,25,1554.94,0.615146
Sweden,,27,1540.2,0.598362
Austria,,22,1589.84,0.593073
Hungary,,30,1517.57,0.591495
Russia,,34,1512.32,0.586555
Serbia,,32,1514.28,0.572995
Greece,,39,1489.88,0.556372
Czechia,,42,1484.88,0.549446
Poland,,35,1510.62,0.543938
Panama,,36,1504.39,0.542449
